metric_category	metric_name	value	interpretation
entropy_distribution	mean	110.757793	Average entropy across files
entropy_distribution	std	0.000000	Standard deviation of entropy
entropy_distribution	skewness	0.000000	Distribution asymmetry
entropy_distribution	kurtosis	0.000000	Distribution tail heaviness
complexity_distribution	mean	97.000000	Average complexity
complexity_distribution	std	0.000000	Complexity variation
complexity_distribution	max	97.000000	Maximum complexity
landscape	entropy_complexity_correlation	0.000000	Entropy-complexity correlation
landscape	hotspot_density	0.000000	Proportion of high-entropy files
landscape	signature	1200	4-char landscape fingerprint
