framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	41	Basic	1.0	41.0	HIGH
2	information	118	Basic	1.2	141.6	CRITICAL
3	topology	3	Basic	1.3	3.9	LOW
4	spectral	8	Basic	1.4	11.2	MEDIUM
5	unified	129	Basic	1.5	193.5	CRITICAL
6	persistent	3	Ultimate	2.0	6.0	LOW
7	k_theory	8	Ultimate	1.8	14.4	MEDIUM
8	ultimate	11	Ultimate	2.2	24.2	MEDIUM
9	percolation	0	Advanced	1.6	0.0	LOW
10	random_matrix	24	Advanced	2.1	50.4	HIGH
11	gauge	0	Advanced	1.9	0.0	LOW
12	spin_glass	14	Advanced	1.7	23.8	MEDIUM
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	19	Next-Gen	1.8	34.2	MEDIUM
15	category	18	Next-Gen	2.0	36.0	MEDIUM
16	tropical	129	Next-Gen	1.9	245.1	CRITICAL
17	advanced_combined	30	Next-Gen	2.5	75.0	HIGH
