framework	basic	information	topology	spectral	unified	persistent	k_theory	ultimate	percolation	random_matrix	gauge	spin_glass	knot	matroid	category	tropical	advanced_combined
basic	1.000	0.000	0.000	0.167	0.167	0.000	0.000	0.000	0.000	1.000	0.111	1.000	0.000	1.000	1.000	0.167	1.000
information	0.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
topology	0.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
spectral	0.167	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.167	0.667	0.167	0.000	0.167	0.167	1.000	0.167
unified	0.167	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.167	0.667	0.167	0.000	0.167	0.167	1.000	0.167
persistent	0.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
k_theory	0.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
ultimate	0.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
percolation	0.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
random_matrix	1.000	0.000	0.000	0.167	0.167	0.000	0.000	0.000	0.000	1.000	0.111	1.000	0.000	1.000	1.000	0.167	1.000
gauge	0.111	0.000	0.000	0.667	0.667	0.000	0.000	0.000	0.000	0.111	1.000	0.111	0.000	0.111	0.111	0.667	0.111
spin_glass	1.000	0.000	0.000	0.167	0.167	0.000	0.000	0.000	0.000	1.000	0.111	1.000	0.000	1.000	1.000	0.167	1.000
knot	0.000	1.000	1.000	0.000	0.000	1.000	1.000	1.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000
matroid	1.000	0.000	0.000	0.167	0.167	0.000	0.000	0.000	0.000	1.000	0.111	1.000	0.000	1.000	1.000	0.167	1.000
category	1.000	0.000	0.000	0.167	0.167	0.000	0.000	0.000	0.000	1.000	0.111	1.000	0.000	1.000	1.000	0.167	1.000
tropical	0.167	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.167	0.667	0.167	0.000	0.167	0.167	1.000	0.167
advanced_combined	1.000	0.000	0.000	0.167	0.167	0.000	0.000	0.000	0.000	1.000	0.111	1.000	0.000	1.000	1.000	0.167	1.000
