framework_level	framework_name	issues_found	tier	mathematical_weight	weighted_score	status
1	basic	1	Basic	1.0	1.0	LOW
2	information	0	Basic	1.2	0.0	LOW
3	topology	0	Basic	1.3	0.0	LOW
4	spectral	6	Basic	1.4	8.4	MEDIUM
5	unified	6	Basic	1.5	9.0	MEDIUM
6	persistent	0	Ultimate	2.0	0.0	LOW
7	k_theory	0	Ultimate	1.8	0.0	LOW
8	ultimate	0	Ultimate	2.2	0.0	LOW
9	percolation	0	Advanced	1.6	0.0	LOW
10	random_matrix	0	Advanced	2.1	0.0	LOW
11	gauge	15	Advanced	1.9	28.5	MEDIUM
12	spin_glass	0	Advanced	1.7	0.0	LOW
13	knot	0	Next-Gen	2.3	0.0	LOW
14	matroid	0	Next-Gen	1.8	0.0	LOW
15	category	0	Next-Gen	2.0	0.0	LOW
16	tropical	6	Next-Gen	1.9	11.4	MEDIUM
17	advanced_combined	0	Next-Gen	2.5	0.0	LOW
